Total Nacional;Comunidades y Ciudades Autónomas;Sexo;Edad (grupos quinquenales);Tipo de dato;Periodo;Total
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM22;259
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM21;246
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM20;261
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM19;258
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM18;255
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM17;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM16;264
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM15;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM14;288
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM13;260
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM12;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM11;270
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM10;287
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM09;312
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM08;332
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM07;343
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM06;401
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM05;419
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM04;457
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM03;389
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM02;379
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2021SM01;318
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM53;286
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM52;333
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM51;321
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM50;351
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM49;376
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM48;377
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM47;390
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM46;410
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM45;394
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM44;374
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM43;378
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM42;345
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM41;328
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM40;306
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM39;296
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM38;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM37;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM36;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM35;288
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM34;257
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM33;275
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM32;278
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM31;277
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM30;296
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM29;284
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM28;283
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM27;280
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM26;279
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM25;245
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM24;247
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM23;283
Total Nacional;07 Castilla y León;Hombres;Todas las edades;Dato base;2020SM22;283
